Governante;Data de entrada;Data de saída;Classificação;Ministérios;Partido da Pasta;Ministro;Data de entrada;Data de saída;Partido do Ministro
Itamar;29/12/1992;01/01/1995;Ministério;Comunicações;sfp;Djalma Bastos de Morais;23/12/1993;31/12/1994;sfp
Itamar;29/12/1992;01/01/1995;Ministério;Previdência Social;PMDB;Antônio Britto;14/10/1992;14/12/1993;PMDB
Itamar;29/12/1992;01/01/1995;Ministério;Previdência Social;sfp;Sérgio Cutolo;14/12/1993;31/12/1994;sfp
Itamar;29/12/1992;01/01/1995;Ministério;Meio Ambiente;PMDB;Fernando Coutinho Jorge;14/10/1992;16/09/1993;PMDB
Itamar;29/12/1992;01/01/1995;Ministério;Meio Ambiente e Amazônia Legal;sfp;Rubens Ricúpero;16/09/1993;05/04/1994;sfp
Itamar;29/12/1992;01/01/1995;Ministério;Meio Ambiente e Amazônia Legal;sfp;Henrique Brandão Cavalcanti;05/04/1994;31/12/1994;sfp
Itamar;29/12/1992;01/01/1995;Ministério;Ciência e Tecnologia;sfp;José Israel Vargas;27/10/1992;31/12/1994;sfp
Itamar;29/12/1992;01/01/1995;Ministério;Cultura;PSB;Antônio Houaiss;19/10/1992;02/09/1993;PSB
Itamar;29/12/1992;01/01/1995;Ministério;Cultura;sfp;José Jerônimo Moscardo de Sousa;02/09/1993;09/12/1993;sfp
Itamar;29/12/1992;01/01/1995;Ministério;Cultura;sfp;Luís Roberto do Nascimento e Silva;15/12/1993;31/12/1994;sfp
Itamar;29/12/1992;01/01/1995;Ministério;Bem-Estar Social;PSDB;Jutahy Magalhães Júnior;05/10/1992;28/12/1993;PSDB
Itamar;29/12/1992;01/01/1995;Ministério;Bem-Estar Social;sfp;Leonor Franco;28/12/1993;31/12/1994;sfp
Itamar;29/12/1992;01/01/1995;Secretaria;Assuntos Estratégicos;sfp;Mário César Flores;22/10/1992;31/12/1994;sfp
Itamar;29/12/1992;01/01/1995;Secretaria;Administração Federal;ind;Luiza Erundina;27/01/1993;20/05/1993;PT
Itamar;29/12/1992;01/01/1995;Secretaria;Administração Federal;sfp;Romildo Canhim;20/05/1993;31/12/1994;sfp
FHC 1;01/01/1995;01/01/1999;Órgão da PR;Casa Civil;PSDB;Clóvis Carvalho;01/01/1995;31/12/1998;PSDB
FHC 1;01/01/1995;01/01/1999;Ministério;Justiça;PMDB;Nelson Jobim;01/01/1995;08/04/1997;PMDB
FHC 1;01/01/1995;01/01/1999;Ministério;Justiça;PMDB;Íris Rezende;22/05/1997;01/04/1998;PMDB
FHC 1;01/01/1995;01/01/1999;Ministério;Justiça;PMDB;Renan Calheiros;07/04/1998;31/12/1998;PMDB
FHC 1;01/01/1995;01/01/1999;Ministério;Exército;sfp;Zenildo Gonzaga Zoroastro de Lucena;01/01/1995;31/12/1998;sfp
FHC 1;01/01/1995;01/01/1999;Ministério;Relações Exteriores;sfp;Luís Felipe Lampreia;01/01/1995;31/12/1998;sfp
FHC 1;01/01/1995;01/01/1999;Ministério;Fazenda ;sfp;Pedro Malan;01/01/1995;31/12/1998;sfp
FHC 1;01/01/1995;01/01/1999;Ministério;Transportes;PMDB;Odacir Klein;01/01/1995;16/08/1996;PMDB
FHC 1;01/01/1995;01/01/1999;Ministério;Transportes;PMDB;Alcides Saldanha (interino);16/08/1996;21/05/1997;PMDB
FHC 1;01/01/1995;01/01/1999;Ministério;Transportes;PMDB;Eliseu Padilha;22/05/1997;31/12/1998;PMDB
FHC 1;01/01/1995;01/01/1999;Ministério;Agricultura e Abastecimento;PTB;José Eduardo Andrade Vieira;01/01/1995;02/05/1996;PTB
FHC 1;01/01/1995;01/01/1999;Ministério;Agricultura e Abastecimento;PTB;Arlindo Porto;08/05/1996;04/04/1998;PTB
FHC 1;01/01/1995;01/01/1999;Ministério;Agricultura e Abastecimento;PPB;Francisco Turra;07/04/1998;31/12/1998;PPB
FHC 1;01/01/1995;01/01/1999;Ministério;Educação e Desporto;PSDB;Paulo Renato Sousa;01/01/1995;31/12/1998;PSDB
FHC 1;01/01/1995;01/01/1999;Ministério;Trabalho;PTB;Paulo Paiva;01/01/1995;31/03/1998;PTB
FHC 1;01/01/1995;01/01/1999;Ministério;Trabalho;sfp;Edward Amadeo;07/04/1998;31/12/1998;sfp
FHC 1;01/01/1995;01/01/1999;Ministério;Saúde;sfp;Adib Jatene;01/01/1995;07/11/1996;sfp
FHC 1;01/01/1995;01/01/1999;Ministério;Saúde;PSDB;Carlos César de Albuquerque;18/12/1996;31/03/1998;PSDB
FHC 1;01/01/1995;01/01/1999;Ministério;Saúde;PSDB;José Serra;31/03/1998;31/12/1998;PSDB
FHC 1;01/01/1995;01/01/1999;Ministério;Indústria, Comércio e Turismo;PSDB;Dorothea Furquim Werneck;01/01/1995;02/05/1996;PSDB
FHC 1;01/01/1995;01/01/1999;Ministério;Indústria, Comércio e Turismo;PPB;Francisco Dornelles;07/05/1996;31/03/1998;PPB
FHC 1;01/01/1995;01/01/1999;Ministério;Indústria, Comércio e Turismo;PPB;José Botafogo Gonçalves;31/03/1998;31/12/1998;PPB
FHC 1;01/01/1995;01/01/1999;Ministério;Minas e Energia;PFL;Raimundo Brito;01/01/1995;31/12/1998;PFL
FHC 1;01/01/1995;01/01/1999;Ministério;Planejamento e Orçamento;PSDB;José Serra;01/01/1995;01/06/1996;PSDB
FHC 1;01/01/1995;01/01/1999;Ministério;Planejamento e Orçamento;PSDB;Antônio Kandir;04/06/1996;31/03/1998;PSDB
FHC 1;01/01/1995;01/01/1999;Ministério;Planejamento e Orçamento;PTB;Paulo Paiva;31/03/1998;31/12/1998;PTB
FHC 1;01/01/1995;01/01/1999;Ministério;Comunicações;PSDB;Sérgio Motta;01/01/1995;13/04/1998;PSDB
FHC 1;01/01/1995;01/01/1999;Ministério;Comunicações;PSDB;Luís Carlos Mendonça de Barros;30/04/1998;23/11/1998;PSDB
FHC 1;01/01/1995;01/01/1999;Ministério;Previdência e Assistência Social;PFL;Reinhold Stephanes;01/01/1995;03/04/1998;PFL
